FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
070415;1100;;33,1899;;
070415;1200;;46,59;;
070415;1300;;33,1;;
070415;1400;;114,9;;
070415;1500;;501,8;;
070415;1600;;352,2;;
070415;1700;;163,2;;
070415;1800;;61,89;;
070415;1900;;83,2;;
070415;2000;;147,6;;
070415;2100;;35,9;;
070415;2200;;104,3;;
070415;2300;;;;
070416;0000;;;;
070416;0100;;;;
070416;0200;;;;
070416;0300;;;;
070416;0400;;;;
070416;0500;;;;
070416;0600;;;;
070416;0700;;;;
070416;0800;;;;
070416;0900;;;;
070416;1000;;;;
070416;1100;;;;
070416;1200;;;;
070416;1300;;;;
070416;1400;;;;
070416;1500;;;;
070416;1600;;;;
070416;1700;;;;
070416;1800;;;;
070416;1900;;;;
070416;2000;;;;
070416;2100;;;;
070416;2200;;;;
070416;2300;;;;
070417;0000;;;;
070417;0100;;;;
070417;0200;;;;
070417;0300;;;;
070417;0400;;;;
070417;0500;;;;
070417;0600;;;;
070417;0700;;;;
070417;0800;;;;
070417;0900;;;;
070417;1000;;;;
070417;1100;;;;
070417;1200;;;;
070417;1300;;;;
070417;1400;;;;
070417;1500;;;;
070417;1600;;;;
070417;1700;;;;
070417;1800;;;;
070417;1900;;;;
070417;2000;;;;
070417;2100;;;;
070417;2200;;;;
070417;2300;;;;
070418;0000;;;;
070418;0100;;;;
070418;0200;;;;
070418;0300;;;;
070418;0400;;;;
070418;0500;;;;
070418;0600;;;;
070418;0700;;;;
070418;0800;;;;
070418;0900;;;;
070418;1000;;;;
070418;1100;;;;
070418;1200;;;;
070418;1300;;;;
070418;1400;;;;
070418;1500;;;;
070418;1600;;;;
070418;1700;;;;
070418;1800;;;;
070418;1900;;;;
070418;2000;;;;
070418;2100;;;;
070418;2200;;;;
070418;2300;;;;
070419;0000;;;;
070419;0100;;;;
070419;0200;;;;
070419;0300;;;;
070419;0400;;;;
070419;0500;;;;
070419;0600;;;;
070419;0700;;;;
070419;0800;;;;
070419;0900;;;;
070419;1000;;;;
070419;1100;;;;
070419;1200;;;;
070419;1300;;;;
070419;1400;;;;
070419;1500;;;;
070419;1600;;;;
070419;1700;;;;
070419;1800;;;;
070419;1900;;;;
070419;2000;;;;
070419;2100;;;;
070419;2200;;;;
070419;2300;;;;
070420;0000;;;;
070420;0100;;;;
070420;0200;;;;
070420;0300;;;;
070420;0400;;;;
070420;0500;;;;
070420;0600;;;;
070420;0700;;;;
070420;0800;;;;
070420;0900;;;;
070420;1000;;;;
070420;1100;;;;
070420;1200;;;;
070420;1300;;;;
070420;1400;;;;
070420;1500;;;;
070420;1600;;;;
070420;1700;;;;
070420;1800;;;;
070420;1900;;;;
070420;2000;;;;
070420;2100;;;;
070420;2200;;;;
070420;2300;;;;
070421;0000;;;;
070421;0100;;;;
070421;0200;;;;
070421;0300;;;;
070421;0400;;;;
070421;0500;;;;
070421;0600;;;;
070421;0700;;;;
070421;0800;;;;
070421;0900;;;;
070421;1000;;;;
070421;1100;;;;
070421;1200;;;;
070421;1300;;;;
070421;1400;;;;
070421;1500;;;;
070421;1600;;;;
070421;1700;;;;
070421;1800;;;;
070421;1900;;;;
070421;2000;;;;
070421;2100;;;;
070421;2200;;;;
070421;2300;;;;
070422;0000;;;;
070422;0100;;;;
070422;0200;;;;
070422;0300;;;;
070422;0400;;;;
070422;0500;;;;
070422;0600;;;;
070422;0700;;;;
070422;0800;;;;
070422;0900;;;;
070422;1000;;;;
070422;1100;;;;
070422;1200;;;;
070422;1300;;;;
070422;1400;;;;
070422;1500;;;;
