FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
070415;0100;;3,806;;
070415;0200;;3,113;;
070415;0300;;0,625998;;
070415;0400;;0,3;;
070415;0500;;0,514;;
070415;0600;;0;;
070415;0700;;0,215;;
070415;0800;;0,936;;
070415;0900;;3,636;;
070415;1000;;12,4;;
070415;1100;;26,16;;
070415;1200;;30,45;;
070415;1300;;33,54;;
070415;1400;;37,58;;
070415;1500;;39,6899;;
070415;1600;;41,84;;
070415;1700;;33,95;;
070415;1800;;10,27;;
070415;1900;;9,81;;
070415;2000;;8,53998;;
070415;2100;;2,178;;
070415;2200;;5,106;;
070415;2300;;6,903;;
070416;0000;;5,078;;
070416;0100;;9,20998;;
070416;0200;;5,643;;
070416;0300;;5,87;;
070416;0400;;5,738;;
070416;0500;;6,796;;
070416;0600;;7,074;;
070416;0700;;1,991;;
070416;0800;;2,089;;
070416;0900;;7,84599;;
070416;1000;;17,57;;
070416;1100;;22,77;;
070416;1200;;21,96;;
070416;1300;;20,77;;
070416;1400;;22,5;;
070416;1500;;23,24;;
070416;1600;;23,38;;
070416;1700;;22,06;;
070416;1800;;16,61;;
070416;1900;;14,96;;
070416;2000;;14,52;;
070416;2100;;15,02;;
070416;2200;;12,58;;
070416;2300;;2,409;;
070417;0000;;0,903;;
070417;0100;;1,81;;
070417;0200;;7,018;;
070417;0300;;0,405;;
070417;0400;;0,367;;
070417;0500;;0,315;;
070417;0600;;0,221;;
070417;0700;;1,057;;
070417;0800;;3,617;;
070417;0900;;8,89998;;
070417;1000;;18,53;;
070417;1100;;27,18;;
070417;1200;;29,69;;
070417;1300;;33,53;;
070417;1400;;36,87;;
070417;1500;;38,74;;
070417;1600;;38,22;;
070417;1700;;32,16;;
070417;1800;;12,18;;
070417;1900;;2,527;;
070417;2000;;2,01;;
070417;2100;;1,292;;
070417;2200;;1,858;;
070417;2300;;4,37099;;
070418;0000;;2,323;;
070418;0100;;1,252;;
070418;0200;;0,454;;
070418;0300;;0,533;;
070418;0400;;1,247;;
070418;0500;;1,375;;
070418;0600;;0,672997;;
070418;0700;;0,863;;
070418;0800;;2,842;;
070418;0900;;10,47;;
070418;1000;;24,62;;
070418;1100;;26,56;;
070418;1200;;29,82;;
070418;1300;;31,51;;
070418;1400;;35,29;;
070418;1500;;40,2599;;
070418;1600;;37,1899;;
070418;1700;;30,05;;
070418;1800;;14,51;;
070418;1900;;11,49;;
070418;2000;;9,78998;;
070418;2100;;1,782;;
070418;2200;;1,541;;
070418;2300;;1,558;;
070419;0000;;0,737;;
070419;0100;;0,214;;
070419;0200;;0,354;;
070419;0300;;0,342;;
070419;0400;;0,229;;
070419;0500;;0,599998;;
070419;0600;;0,286;;
070419;0700;;0,622995;;
070419;0800;;1,581;;
070419;0900;;5,519;;
070419;1000;;10,87;;
070419;1100;;18,36;;
070419;1200;;17,75;;
