FECHA (YYMMDD);HORA (HHMM);;
070420;0300;2,202;
070420;0400;2,253;
070420;0500;1,96;
070420;0600;2,073;
070420;0700;1,777;
070420;0800;1,952;
070420;0900;1,718;
070420;1000;2,193;
070420;1100;2,592;
070420;1200;2,599;
070420;1300;2,492;
070420;1400;2,769;
070420;1500;2,283;
070420;1600;2,791;
070420;1700;2,415;
070420;1800;2,385;
070420;1900;1,697;
070420;2000;0,98;
070420;2100;1,079;
070420;2200;1,024;
070420;2300;1,146;
070421;0000;1,552;
070421;0100;1,651;
070421;0200;1,795;
070421;0300;2,038;
070421;0400;2,327;
070421;0500;2,314;
070421;0600;2,498;
070421;0700;2,164;
070421;0800;1,955;
070421;0900;2,067;
070421;1000;1,861;
070421;1100;2,079;
070421;1200;2,434;
070421;1300;2,066;
070421;1400;1,915;
070421;1500;1,5;
070421;1600;2,023;
070421;1700;1,581;
070421;1800;1,407;
070421;1900;1,937;
070421;2000;1,087;
070421;2100;1,142;
070421;2200;0,834;
070421;2300;0,766998;
070422;0000;0,818998;
070422;0100;1,036;
070422;0200;1,143;
070422;0300;1,076;
070422;0400;1,828;
070422;0500;1,016;
070422;0600;0,997;
070422;0700;0,865998;
070422;0800;1,047;
070422;0900;1,541;
070422;1000;1,63;
070422;1100;1,118;
070422;1200;1,469;
070422;1300;1,637;
070422;1400;1,536;
070422;1500;1,657;
070422;1600;1,789;
070422;1700;1,641;
070422;1800;0,875;
070422;1900;0,842;
070422;2000;0,58;
070422;2100;0,740998;
070422;2200;1,122;
070422;2300;1,032;
070423;0000;1,138;
070423;0100;1,221;
070423;0200;0,94;
070423;0300;1,33;
070423;0400;1,17;
070423;0500;1,458;
070423;0600;1,915;
070423;0700;1,682;
070423;0800;1,939;
070423;0900;2,12;
070423;1000;2,102;
070423;1100;2,012;
070423;1200;1,719;
070423;1300;1,35;
070423;1400;1,229;
070423;1500;1,306;
070423;1600;1,879;
070423;1700;1,314;
070423;1800;2,074;
070423;1900;2,17;
070423;2000;1,06;
070423;2100;0,931;
070423;2200;1,263;
070423;2300;1,478;
070424;0000;1,519;
070424;0100;1,439;
070424;0200;1,978;
070424;0300;1,456;
070424;0400;1,111;
070424;0500;1,268;
070424;0600;1,302;
070424;0700;1,384;
070424;0800;0,665;
070424;0900;0,893;
070424;1000;1,058;
070424;1100;1,025;
070424;1200;1,999;
070424;1300;1,809;
070424;1400;1,983;
070424;1500;2,01;
070424;1600;2,238;
070424;1700;2,077;
070424;1800;1,439;
070424;1900;1,597;
070424;2000;1,451;
