FECHA (YYMMDD);HORA (HHMM);;
140116;1100;23,4117;
140116;1200;24,8433;
140116;1300;26,1433;
140116;1400;27,4233;
140116;1500;28,0683;
140116;1600;28,1083;
140116;1700;27,675;
140116;1800;26,505;
140116;1900;24,605;
140116;2000;23,07;
140116;2100;21,3042;
140116;2200;20,0258;
140116;2300;19,0217;
140117;0000;18,2292;
140117;0100;17,67;
140117;0200;16,8808;
140117;0300;16,1117;
140117;0400;15,6008;
140117;0500;15,4317;
140117;0600;15,075;
140117;0700;16,6392;
140117;0800;18,3475;
140117;0900;20,5533;
140117;1000;22,8858;
140117;1100;24,3267;
140117;1200;25,7475;
140117;1300;26,9858;
140117;1400;27,9567;
140117;1500;28,5475;
140117;1600;28,9592;
140117;1700;28,6092;
140117;1800;27,1425;
140117;1900;25,0083;
140117;2000;23,0558;
140117;2100;21,3617;
140117;2200;20,1583;
140117;2300;19,1058;
140118;0000;18,3608;
140118;0100;17,9325;
140118;0200;17,3242;
140118;0300;16,5625;
140118;0400;15,9217;
140118;0500;15,635;
140118;0600;16,0533;
140118;0700;17,6308;
140118;0800;19,53;
140118;0900;21,4275;
140118;1000;23,1825;
140118;1100;24,0892;
140118;1200;25,9208;
140118;1300;27,4358;
140118;1400;29,0658;
140118;1500;29,9567;
140118;1600;29,7892;
140118;1700;29,4933;
140118;1800;28,5017;
140118;1900;27,1158;
140118;2000;25,6208;
140118;2100;24,1575;
140118;2200;22,6592;
140118;2300;20,7283;
140119;0000;20,3042;
140119;0100;20,0483;
140119;0200;19,8817;
140119;0300;18,3808;
140119;0400;17,3675;
140119;0500;16,7325;
140119;0600;16,6792;
140119;0700;18,2942;
140119;0800;19,7892;
140119;0900;21,5017;
140119;1000;23,0442;
140119;1100;24,42;
140119;1200;25,9492;
140119;1300;27,355;
140119;1400;28,1283;
140119;1500;28,6542;
140119;1600;28,8767;
140119;1700;;
140119;1800;26,8122;
140119;1900;24,565;
140119;2000;21,9742;
140119;2100;19,9392;
140119;2200;18,8308;
140119;2300;18,0258;
140120;0000;16,895;
140120;0100;16,2683;
140120;0200;15,6992;
140120;0300;15,285;
140120;0400;15,0033;
140120;0500;14,3775;
140120;0600;14,1;
140120;0700;16,0033;
140120;0800;18,0492;
140120;0900;19,7;
140120;1000;21,2483;
140120;1100;22,7792;
140120;1200;24,4483;
140120;1300;25,9325;
140120;1400;27,01;
140120;1500;27,4408;
140120;1600;27,6242;
140120;1700;26,8042;
140120;1800;25,7325;
140120;1900;22,73;
140120;2000;20,76;
140120;2100;19,1125;
140120;2200;17,8675;
140120;2300;16,6558;
140121;0000;15,6367;
140121;0100;14,6983;
140121;0200;14,1233;
140121;0300;13,2375;
140121;0400;12,5575;
140121;0500;12,07;
140121;0600;12,3633;
140121;0700;14,7767;
140121;0800;17,4708;
140121;0900;19,4292;
140121;1000;21,3042;
140121;1100;23,1775;
140121;1200;24,6908;
140121;1300;26,1642;
140121;1400;27,265;
140121;1500;28,0083;
140121;1600;28,4417;
140121;1700;27,9992;
140121;1800;26,1275;
140121;1900;24,21;
140121;2000;22,37;
140121;2100;20,9125;
140121;2200;19,5408;
140121;2300;18,005;
140122;0000;17,4625;
140122;0100;16,5075;
140122;0200;15,6533;
140122;0300;15,0742;
140122;0400;14,6083;
140122;0500;14,2308;
140122;0600;14,2708;
140122;0700;15,2025;
140122;0800;16,7967;
140122;0900;18,5858;
140122;1000;20,035;
140122;1100;21,4717;
140122;1200;23,005;
140122;1300;24,24;
140122;1400;24,8442;
140122;1500;25,775;
140122;1600;25,975;
140122;1700;25,9733;
140122;1800;25,7633;
140122;1900;23,4092;
140122;2000;21,6125;
140122;2100;20,1483;
140122;2200;18,9558;
140122;2300;17,6575;
140123;0000;16,3808;
140123;0100;15,4725;
140123;0200;15,2692;
140123;0300;14,9825;
