FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140116;0500;6,80001;;;
140116;0600;3,8;;;
140116;0700;8,10002;;;
140116;0800;10,9;;;
140116;0900;15,1;;;
140116;1000;23,5;;;
140116;1100;28,6;;;
140116;1200;27,6;;;
140116;1300;27,6;;;
140116;1400;29,2;;;
140116;1500;30,8;;;
140116;1600;28,7;;;
140116;1700;30,9;;;
140116;1800;27,3;;;
140116;1900;20,3;;;
140116;2000;11;;;
140116;2100;9,30002;;;
140116;2200;8,10002;;;
140116;2300;8,10002;;;
140117;0000;7,10001;;;
140117;0100;3,1;;;
140117;0200;4,60001;;;
140117;0300;5,80001;;;
140117;0400;6,00001;;;
140117;0500;5,40001;;;
140117;0600;1,2;;;
140117;0700;2,8;;;
140117;0800;7,2;;;
140117;0900;11,5;;;
140117;1000;18,6;;;
140117;1100;26;;;
140117;1200;29,5;;;
140117;1300;28;;;
140117;1400;29,7;;;
140117;1500;28,9;;;
140117;1600;28,6;;;
140117;1700;26,1;;;
140117;1800;21,4;;;
140117;1900;12,2;;;
140117;2000;9,50002;;;
140117;2100;8,20001;;;
140117;2200;7,30001;;;
140117;2300;8,00002;;;
140118;0000;8,60002;;;
140118;0100;8,40001;;;
140118;0200;6,10001;;;
140118;0300;3,8;;;
140118;0400;1;;;
140118;0500;1;;;
140118;0600;1;;;
140118;0700;3,90001;;;
140118;0800;9,00002;;;
140118;0900;13,7;;;
140118;1000;20,1;;;
140118;1100;26,7;;;
140118;1200;30,8;;;
140118;1300;33,9001;;;
140118;1400;36,7001;;;
140118;1500;38,9001;;;
140118;1600;40,7001;;;
140118;1700;37,2001;;;
140118;1800;30,6;;;
140118;1900;23,2;;;
140118;2000;11,1;;;
140118;2100;9,60002;;;
140118;2200;8,80002;;;
140118;2300;7,50001;;;
140119;0000;6,2;;;
140119;0100;6,30001;;;
140119;0200;5,2;;;
140119;0300;1;;;
140119;0400;2;;;
140119;0500;3,2;;;
140119;0600;2,40001;;;
140119;0700;6,7;;;
140119;0800;14,7;;;
140119;0900;20,5;;;
140119;1000;27,7;;;
140119;1100;29,3;;;
140119;1200;29,6;;;
140119;1300;27,8;;;
140119;1400;26,9;;;
140119;1500;27,7;;;
140119;1600;27,5;;;
140119;1700;20,1;;;
140119;1800;15,3;;;
140119;1900;10,2;;;
140119;2000;8,30002;;;
140119;2100;7,7;;;
140119;2200;6,80001;;;
140119;2300;6,2;;;
140120;0000;8,20001;;;
140120;0100;4,7;;;
140120;0200;5,2;;;
140120;0300;6,80001;;;
140120;0400;5,90001;;;
140120;0500;1,1;;;
140120;0600;1,1;;;
140120;0700;5,30001;;;
140120;0800;8,50002;;;
140120;0900;11,2;;;
140120;1000;18,2;;;
140120;1100;25,5;;;
140120;1200;27;;;
140120;1300;26,9;;;
140120;1400;26,5;;;
140120;1500;24,6;;;
140120;1600;21,1;;;
140120;1700;18,5;;;
140120;1800;14,9;;;
140120;1900;12,6;;;
140120;2000;10,9;;;
140120;2100;10,5;;;
140120;2200;10,4;;;
140120;2300;9,10002;;;
140121;0000;6,2;;;
140121;0100;3,8;;;
140121;0200;5,10001;;;
140121;0300;1;;;
140121;0400;1;;;
140121;0500;1,2;;;
140121;0600;1,3;;;
140121;0700;3,7;;;
140121;0800;9,00002;;;
140121;0900;13,1;;;
140121;1000;19,9;;;
140121;1100;26,1;;;
140121;1200;29,5;;;
140121;1300;30,7;;;
140121;1400;30,5;;;
140121;1500;30,5;;;
140121;1600;29,9;;;
140121;1700;23,7;;;
140121;1800;17,3;;;
140121;1900;15,4;;;
140121;2000;10,9;;;
140121;2100;11,9;;;
140121;2200;11;;;
140121;2300;10,6;;;
140122;0000;11,3;;;
140122;0100;11,2;;;
140122;0200;10,1;;;
140122;0300;1,3;;;
140122;0400;1,5;;;
140122;0500;1;;;
140122;0600;1,2;;;
140122;0700;4,80001;;;
140122;0800;5,2;;;
140122;0900;8,30002;;;
140122;1000;13,4;;;
140122;1100;19,1;;;
140122;1200;23,5;;;
140122;1300;;;;
140122;1400;31,6;;;
140122;1500;33,1;;;
140122;1600;31,4;;;
140122;1700;32,5001;;;
140122;1800;20;;;
140122;1900;15;;;
140122;2000;11,8;;;
140122;2100;11,6;;;
140122;2200;11,3;;;
140122;2300;11,1;;;
140123;0000;11,3;;;
140123;0100;10,6;;;
140123;0200;11,1;;;
140123;0300;8,60002;;;
140123;0400;4,2;;;
140123;0500;2,8;;;
140123;0600;3,5;;;
140123;0700;5,80001;;;
140123;0800;12,1;;;
140123;0900;16,6;;;
140123;1000;20,5;;;
140123;1100;24,5;;;
140123;1200;24,3;;;
140123;1300;23,9;;;
140123;1400;23,7;;;
140123;1500;23,2;;;
140123;1600;20,5;;;
140123;1700;18,2;;;
140123;1800;16,6;;;
140123;1900;13,5;;;
140123;2000;11,4;;;
140123;2100;12,2;;;
140123;2200;8,80002;;;
140123;2300;9,60002;;;
