FECHA (YYMMDD);HORA (HHMM);;
140119;2200;0;
140119;2300;0;
140120;0000;0;
140120;0100;0;
140120;0200;0;
140120;0300;0;
140120;0400;0;
140120;0500;0,637082;
140120;0600;49,4106;
140120;0700;221,175;
140120;0800;422,358;
140120;0900;617,917;
140120;1000;790,949;
140120;1100;912,167;
140120;1200;973,333;
140120;1300;976,583;
140120;1400;911,75;
140120;1500;794,191;
140120;1600;627,917;
140120;1700;432,925;
140120;1800;226,875;
140120;1900;63,1213;
140120;2000;0,325917;
140120;2100;0;
140120;2200;0;
140120;2300;0;
140121;0000;0;
140121;0100;0;
140121;0200;0;
140121;0300;0;
140121;0400;0;
140121;0500;0,639667;
140121;0600;50,3968;
140121;0700;231,375;
140121;0800;437,233;
140121;0900;634,517;
140121;1000;805,417;
140121;1100;928,083;
140121;1200;989,833;
140121;1300;990,5;
140121;1400;926,417;
140121;1500;799,933;
140121;1600;631,407;
140121;1700;436,658;
140121;1800;228,75;
140121;1900;55,055;
140121;2000;0,30475;
140121;2100;0;
140121;2200;0;
140121;2300;0;
140122;0000;0;
140122;0100;0;
140122;0200;0;
140122;0300;0;
140122;0400;0;
140122;0500;0,551167;
140122;0600;45,8297;
140122;0700;197,442;
140122;0800;327,208;
140122;0900;563,458;
140122;1000;604,35;
140122;1100;761,982;
140122;1200;900,167;
140122;1300;935,142;
140122;1400;796,875;
140122;1500;663,407;
140122;1600;428,842;
140122;1700;302,3;
140122;1800;265,708;
140122;1900;62,8716;
140122;2000;0,618999;
140122;2100;0;
140122;2200;0;
140122;2300;0;
140123;0000;0;
140123;0100;0;
140123;0200;0;
140123;0300;0;
140123;0400;0;
140123;0500;1,11267;
140123;0600;38,6099;
140123;0700;149,95;
140123;0800;358,192;
140123;0900;620,75;
140123;1000;813,5;
140123;1100;934,5;
140123;1200;988;
140123;1300;992,333;
140123;1400;936,75;
140123;1500;829,142;
140123;1600;536,866;
140123;1700;321,242;
140123;1800;105,125;
140123;1900;43,772;
140123;2000;0,108083;
140123;2100;0;
140123;2200;0;
140123;2300;0;
140124;0000;0;
140124;0100;0;
140124;0200;0;
140124;0300;0;
140124;0400;0;
140124;0500;0,56075;
140124;0600;20,6149;
140124;0700;83,7675;
140124;0800;218,133;
140124;0900;574,392;
140124;1000;803,342;
140124;1100;923,25;
140124;1200;984,25;
140124;1300;986,333;
140124;1400;918,25;
140124;1500;794,975;
140124;1600;627,542;
140124;1700;429,342;
140124;1800;223,133;
140124;1900;47,5599;
140124;2000;0,146083;
140124;2100;0;
140124;2200;0;
140124;2300;0;
140125;0000;0;
140125;0100;0;
140125;0200;0;
140125;0300;0;
140125;0400;0;
140125;0500;0,528167;
140125;0600;50,205;
140125;0700;227,45;
140125;0800;433,742;
140125;0900;632,433;
140125;1000;796,75;
140125;1100;916,25;
140125;1200;975,417;
140125;1300;978,167;
140125;1400;916,667;
140125;1500;793,808;
140125;1600;623,5;
140125;1700;425,208;
140125;1800;218,558;
140125;1900;45,8987;
140125;2000;0,0979999;
140125;2100;0;
140125;2200;0;
140125;2300;0;
140126;0000;0;
140126;0100;0;
140126;0200;0;
140126;0300;0;
140126;0400;0;
140126;0500;0,452083;
140126;0600;47,0688;
140126;0700;220,667;
140126;0800;426,192;
140126;0900;624,441;
140126;1000;790,892;
140126;1100;910,5;
140126;1200;968,917;
140126;1300;968,5;
140126;1400;907,833;
140126;1500;786,583;
140126;1600;609,833;
140126;1700;426,933;
140126;1800;222,192;
140126;1900;44,0662;
140126;2000;0,0789167;
140126;2100;0;
